Week Number,Team,Started: Qtr,Started: Spot,Started: Time,Started: How,Ended: Spot,Ended: Time,Ended: How,Plays - Yds.,TOP
5,SDS,1st,SDS39,14:54,KO,MER18,10:03,FG,11-43,04:51
5,MER,1st,MER17,09:56,KO,MER18,07:55,PUNT,3-1,02:01
5,SDS,1st,SDS45,07:55,PUNT,MER0,04:20,TD,7-55,03:35
5,MER,1st,MER28,04:15,KO,MER28,04:02,INT,1-0,00:13
5,SDS,1st,MER19,04:02,INT,MER0,03:56,TD,1-19,00:06
5,MER,1st,MER25,03:56,KO,SDS0,13:38,TD,11-75,05:18
5,SDS,2nd,SDS17,13:32,KO,MER7,05:12,FG,14-76,08:20
5,MER,2nd,MER31,05:12,KO,MER47,01:50,INT,6-16,03:22
5,SDS,2nd,MER36,01:50,INT,MER10,00:00,FG,7-26,01:50
5,MER,3rd,MER21,14:54,KO,MER13,12:38,PUNT,3-(-8),02:16
5,SDS,3rd,MER42,12:38,PUNT,MER0,09:59,TD,5-42,02:39
5,MER,3rd,MER13,09:53,KO,MER39,05:30,PUNT,7-26,04:23
5,SDS,3rd,SDS30,05:30,PUNT,MER0,04:23,TD,4-70,01:07
5,MER,3rd,MER15,04:19,KO,MER23,02:36,PUNT,3-8,01:43
5,SDS,3rd,SDS39,02:36,PUNT,MER0,12:48,TD,9-61,04:48
5,MER,4th,MER32,12:41,KO,MER35,11:14,PUNT,3-3,01:27
5,SDS,4th,SDS33,11:14,PUNT,MER0,01:55,TD,14-67,09:19
5,MER,4th,MER23,01:48,KO,MER41,00:00,HALF,3-18,01:48
6,LIU,1st,LIU25,15:00,KO,LIU26,13:33,PUNT,3-1,01:27
6,MER,1st,MER20,13:33,PUNT,LIU0,03:47,TD,16-80,09:46
6,LIU,1st,LIU27,03:41,KO,LIU28,00:59,PUNT,3-1,02:42
6,MER,1st,MER43,00:59,PUNT,LIU0,14:11,TD,4-57,01:48
6,LIU,2nd,LIU22,14:06,KO,LIU30,12:32,PUNT,3-18,01:34
6,MER,2nd,MER26,12:32,PUNT,LIU12,05:53,FG,12-62,06:39
6,LIU,2nd,LIU40,05:46,KO,MER49,04:15,INT,3-12,01:31
6,MER,2nd,MER2,04:15,INT,MER8,02:41,INT,3-6,01:34
6,LIU,2nd,MER10,02:41,INT,MER12,01:03,FG,4-(-2),01:38
6,MER,2nd,MER24,00:58,KO,LIU42,00:00,DOWNS,7-34,00:58
6,MER,3rd,MER23,14:54,KO,MER18,13:53,PUNT,3-(-5),01:01
6,LIU,3rd,LIU43,13:53,PUNT,MER0,11:47,TD,5-57,02:06
6,LIU,3rd,LIU23,05:43,PUNT,MER8,00:59,FG,8-69,04:44
6,MER,3rd,MER25,00:59,KO,LIU0,08:21,TD,14-75,07:38
6,MER,3rd,MER16,00:42,KO,MER48,05:43,PUNT,9-32,05:01
6,LIU,4th,LIU4,08:21,KO,MER18,01:42,FGA,18-78,06:39
6,MER,4th,MER20,01:42,FGA,MER22,00:21,PUNT,3-2,01:21
6,LIU,4th,LIU33,00:21,PUNT,LIU39,00:00,INT,4-6,00:21
7,MER,1st,MER43,14:50,KO,WAG46,13:17,PUNT,5-11,01:33
7,WAG,1st,WAG15,13:17,PUNT,MER15,06:12,FGA,14-70,07:05
7,MER,1st,MER20,06:12,FGA,WAG0,11:58,TD,17-80,09:14
7,WAG,2nd,WAG10,11:51,KO,MER0,05:48,TD,11-90,06:03
7,MER,2nd,MER18,05:46,KO,MER24,04:43,PUNT,3-6,01:03
7,WAG,2nd,WAG39,04:43,PUNT,WAG43,02:32,PUNT,3-4,02:11
7,MER,2nd,MER24,02:32,PUNT,WAG0,02:18,TD,1-76,00:14
7,WAG,2nd,WAG35,02:19,KO,MER46,00:43,DOWNS,8-19,01:36
7,MER,2nd,MER46,00:43,DOWNS,MER44,00:00,HALF,2-(-2),00:43
7,WAG,3rd,WAG25,14:59,KO,WAG46,12:56,FUMB,5-21,02:03
7,MER,3rd,WAG46,12:56,FUMB,WAG35,09:44,PUNT,6-11,03:12
7,WAG,3rd,WAG9,09:44,PUNT,WAG2,08:15,PUNT,3-(-7),01:29
7,MER,3rd,WAG46,08:15,PUNT,WAG0,04:25,TD,7-46,03:50
7,WAG,3rd,WAG25,04:25,KO,WAG31,02:53,PUNT,3-6,01:32
7,MER,3rd,MER25,02:53,PUNT,MER44,00:00,PUNT,6-19,02:53
7,WAG,4th,WAG19,15:00,PUNT,MER44,13:14,PUNT,4-37,01:46
7,MER,4th,MER13,13:14,PUNT,WAG2,03:43,DOWNS,15-85,09:31
7,WAG,4th,WAG2,03:43,DOWNS,MER46,01:35,DOWNS,9-52,02:08
7,MER,4th,MER46,01:35,DOWNS,WAG46,00:32,PUNT,3-8,01:03
7,WAG,4th,WAG18,00:32,PUNT,WAG45,00:00,HALF,3-27,00:32
8,DUQ,1st,DUQ25,15:00,KO,MER0,08:58,TD,10-75,06:02
8,MER,1st,MER24,08:51,KO,MER19,07:51,PUNT,3-(-5),01:00
8,DUQ,1st,DUQ41,07:51,PUNT,MER0,07:40,TD,1-59,00:11
8,DUQ,1st,DUQ23,05:30,PUNT,MER9,12:42,FG,13-68,07:48
8,MER,1st,MER35,00:40,KO,MER41,05:30,PUNT,3-6,04:50
8,MER,2nd,MER25,12:42,KO,MER21,11:42,PUNT,3-(-4),01:00
8,DUQ,2nd,DUQ34,11:42,PUNT,DUQ45,10:16,INT,4-11,01:26
8,MER,2nd,DUQ35,10:16,INT,DUQ37,08:45,DOWNS,4-(-2),01:31
8,DUQ,2nd,DUQ37,08:45,DOWNS,MER8,04:53,FG,8-55,03:52
8,MER,2nd,MER25,04:53,KO,MER35,02:53,FUMB,4-10,02:00
8,MER,2nd,MER25,02:53,KO,MER42,00:29,PUNT,8-17,02:24
8,DUQ,2nd,DUQ32,00:29,PUNT,0,,,1-6,00:00
8,MER,3rd,MER25,15:00,KO,DUQ19,06:48,FGA,17-56,08:12
8,DUQ,3rd,DUQ20,06:48,FGA,MER13,00:01,FG,11-67,06:47
